C,MN,SI,S,CR,NI,MO,AL,TI,V,B,W,CO,H2,N,O2,Ladle_No.,Ladle_Life,LF Chamber Out Temp,Casting Temp,Liquidus Temp,Super-heat,Cast Time,Casting Speed,Defect
0.461,1.28,0.29,0.021,0.16,0.08,0.032,0.015,0.013,0.005,0.0002,0.001,0.005,1.44,51,0,9,22,1529,1529,1488,41,35,2.33,0
0.461,1.28,0.29,0.021,0.16,0.08,0.032,0.015,0.013,0.005,0.0002,0.001,0.005,1.44,51,0,9,22,1529,1529,1488,41,35,2.4,0
0.454,1.27,0.29,0.015,0.16,0.11,0.041,0.018,0.009,0.006,0.0002,0.001,0.006,1.32,51,0,9,18,1544,1536,1488,48,30,2.43,0
0.454,1.27,0.29,0.015,0.16,0.11,0.041,0.018,0.009,0.006,0.0002,0.001,0.006,1.32,51,0,9,18,1544,1536,1488,48,30,2.35,0
0.389,0.83,0.24,0.003,1.03,0.21,0.221,0.01,0.002,0.005,0.0002,0.001,0.007,1.51,65,0,4,29,1569,1542,1494,48,30,2.43,0
0.389,0.83,0.24,0.003,1.03,0.21,0.221,0.01,0.002,0.005,0.0002,0.001,0.007,1.51,65,0,4,29,1569,1542,1494,48,30,2.5,0
0.168,0.81,0.3,0.029,1.02,1.27,0.232,0.028,0.002,0.011,0.0002,0.004,0.025,1.4,53,0,5,20,1540,1510,1467,43,35,2.14,0
0.168,0.81,0.3,0.029,1.02,1.27,0.232,0.028,0.002,0.011,0.0002,0.004,0.025,1.4,53,0,5,4,1585,1545,1487,58,35,2.14,0
0.438,0.78,0.26,0.001,0.14,0.06,0.044,0.022,0.003,0.024,0.0001,0.001,0.006,1.23,41,0,5,20,1540,1540,1494,46,35,2.5,1
0.438,0.78,0.26,0.001,0.14,0.06,0.044,0.022,0.003,0.024,0.0001,0.001,0.006,1.23,41,0,5,4,1540,1540,1494,46,35,2.5,1
0.457,1.28,0.3,0.013,0.16,0.07,0.033,0.015,0.012,0.014,0.0001,0.001,0.005,1.44,45,0,2,27,1530,1530,1488,42,30,2.18,0
0.457,1.28,0.3,0.013,0.16,0.07,0.033,0.015,0.012,0.014,0.0001,0.001,0.005,1.44,45,0,2,27,1530,1530,1488,42,30,2.22,0
0.168,0.83,0.26,0.026,1.02,1.25,0.23,0.029,0.002,0.006,0.0002,0.004,0.025,1.36,52,0,10,28,1552,1552,1507,45,30,2.4,0
0.168,0.83,0.26,0.026,1.02,1.25,0.23,0.029,0.002,0.006,0.0002,0.004,0.025,1.36,52,0,10,28,1552,1552,1507,45,30,2.25,0
0.15,0.53,0.24,0.008,1.55,1.42,0.258,0.029,0.002,0.007,0.0002,0.004,0.027,1.4,75,0,5,10,1553,1553,1508,45,30,2.23,0
0.15,0.53,0.24,0.008,1.55,1.42,0.258,0.029,0.002,0.007,0.0002,0.004,0.027,1.4,75,0,5,10,1553,1553,1508,45,30,2.23,0
